Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g)
49992,Northern Africa,Moroccan,African,75840.5929,455860.3118,24615.6173,7345.3419
49995,Northern Africa,Moroccan,African,391.6668,426088.3488,83684.0757,9776.7914
50001,Northern Africa,Moroccan,African,56917.2322,264301.5195,540.9843,3939.1737
50034,Northern Africa,Moroccan,African,67143.5352,992219.4964,91534.1395,36547.7082
50052,Northern Africa,Moroccan,African,763.5944,393297.5069,16325.9265,35541.6985
50068,Northern Africa,Moroccan,African,151049.3914,907120.2430,49117.1531,14507.8249
50088,Northern Africa,Moroccan,African,75784.5395,302897.7280,10.3407,5.6232
50103,Northern Africa,Moroccan,African,101943.7549,612163.5953,33147.5724,9785.3851
50160,Northern Africa,Moroccan,African,86215.9170,628013.7433,31896.9521,19385.1731
50164,Northern Africa,Moroccan,African,1592.3956,705779.8828,43625.2004,57057.2793
50171,Northern Africa,Moroccan,African,42.6763,853811.9513,31560.4285,79635.1537
50175,Northern Africa,Moroccan,African,75511.0657,453726.5003,24559.3708,7277.1904
50247,Northern Africa,Moroccan,African,65.3526,909228.3740,57431.2541,73521.6033
50423,Northern Africa,Moroccan,African,75521.8441,639449.3943,64923.8002,8777.4351
50433,Northern Africa,Moroccan,African,75525.9260,468601.8316,24601.2627,8933.1598
50447,Northern Africa,Moroccan,African,38.6440,605737.6092,38291.7401,48969.0622
50448,Northern Africa,Moroccan,African,78830.6351,305672.3291,1844.7333,2311.3807
50483,Northern Africa,Moroccan,African,75517.5529,453628.1533,24559.7641,7262.7928
50493,Northern Africa,Moroccan,African,3538.2701,925063.3680,58236.1797,73662.3790
50508,Northern Africa,Moroccan,African,1332.5158,207081.5159,32458.6344,8321.5934
50525,Northern Africa,Moroccan,African,77054.6955,485850.5273,25495.1711,10040.6053
50540,Northern Africa,Moroccan,African,43.8821,242502.4889,53863.3554,1387.0780
50550,Northern Africa,Moroccan,African,48685.0098,504049.3944,9498.9330,30573.4631
50582,Northern Africa,Moroccan,African,4257.8935,419791.4290,72756.9866,12686.6207
50622,Northern Africa,Moroccan,African,761.3925,776927.9748,59393.7055,57861.3803
50674,Northern Africa,Moroccan,African,109037.8712,582291.9416,25223.4350,4968.2399
50678,Northern Africa,Moroccan,African,199.1526,606743.9026,38309.2147,49005.2755
50688,Northern Africa,Moroccan,African,56812.1901,349206.8535,18616.9439,6281.0347
50708,Northern Africa,Moroccan,African,67111.6650,328220.0663,11119.6715,808.6582
50765,Northern Africa,Moroccan,African,75638.2981,453976.4165,24571.5852,7247.9764
50783,Northern Africa,Moroccan,African,67155.5199,328638.8660,11085.7662,838.9338
50827,Northern Africa,Moroccan,African,989.5733,912233.9300,57476.9767,73467.0448
50869,Northern Africa,Moroccan,African,18.8770,718708.3390,45126.7751,58392.8651
50902,Northern Africa,Moroccan,African,63161.2281,611849.2620,514.6403,40498.6694
50942,Northern Africa,Moroccan,African,62775.2859,366592.3229,19011.7290,5615.3916
50993,Northern Africa,Moroccan,African,16.3821,714755.5540,42149.1966,59340.8918
51013,Northern Africa,Libyan,African,27.4902,201872.7748,44885.5943,1136.1711
51021,Northern Africa,Libyan,African,60324.5210,265738.2000,5880.1350,999.8590
51032,Northern Africa,Libyan,African,128980.7923,568247.4567,6601.1037,1801.7551
51044,Rest Africa,Sudanese,African,132.6620,351377.6239,18720.3119,30670.9092
51052,Rest Africa,Nigerian,African,205171.0318,863360.4760,5964.0718,1499.7320
51054,Rest Africa,Nigerian,African,3375.1116,299394.4365,53857.8256,7707.2302
51055,Rest Africa,Nigerian,African,80962.8680,314369.9100,196.6988,39.6866
51061,Rest Africa,Nigerian,African,102996.0474,462307.8560,5067.6601,2804.3126
51072,Rest Africa,Nigerian,African,75664.0860,309402.0220,46.8696,159.5718
51074,Rest Africa,Nigerian,African,217882.3552,934471.2692,7684.6498,2953.3161
51087,Rest Africa,Nigerian,African,60650.9536,290555.9198,5920.6376,2447.4526
51090,Rest Africa,Nigerian,African,150304.0926,1464361.3140,12618.2000,92660.5200
51095,Rest Africa,Nigerian,African,1058.5472,408682.9112,544.0429,45494.5119
51120,Rest Africa,Nigerian,African,54547.3203,247883.8016,2538.2342,2205.7653
51126,Rest Africa,Nigerian,African,64338.3622,310713.8300,5368.9431,2921.9623
51136,Rest Africa,Nigerian,African,5006.7065,338806.4021,40854.9160,16528.8544
51158,Rest Africa,Nigerian,African,110104.5470,464051.6840,1736.3386,3749.3010
51159,Rest Africa,Nigerian,African,167177.0680,847153.0735,5091.2472,19668.6825
51161,Rest Africa,Nigerian,African,77988.3026,347562.0777,1397.4038,3671.8960
51167,Rest Africa,Nigerian,African,51554.2154,223713.2800,683.5560,1806.9986
51180,Rest Africa,Nigerian,African,57.0061,265628.2645,52311.4911,6111.8882
51186,Rest Africa,Nigerian,African,85177.9645,408997.3201,5307.1665,4718.6847
51187,Rest Africa,Nigerian,African,146107.4811,650990.4860,6059.8648,4186.4610
51191,Rest Africa,Nigerian,African,72561.9735,384936.0680,5353.5925,9129.6550
51212,Rest Africa,Nigerian,African,370.6686,244651.1502,337.0251,27354.7497
51213,Rest Africa,Nigerian,African,1829.7146,814651.2740,1057.3000,90821.0000
51220,Rest Africa,Nigerian,African,65571.7127,290856.2200,2933.1785,1529.7238
51221,Rest Africa,Nigerian,African,57649.1089,304238.3348,8298.5471,5306.8253
51237,Rest Africa,Nigerian,African,94348.5957,817993.4444,6024.6650,47343.6108
51255,Rest Africa,Nigerian,African,172906.7426,781822.7766,7007.8801,7730.3046
51259,Rest Africa,Nigerian,African,132123.1481,732686.9627,53821.3619,982.9733
51261,Rest Africa,Nigerian,African,69987.0800,272441.5259,19.2642,164.9642
51272,Rest Africa,Nigerian,African,85503.7032,456988.7663,6079.1274,9970.6641
51275,Rest Africa,Nigerian,African,52878.2697,234541.3393,1638.1758,1869.6105
51290,Rest Africa,Nigerian,African,79766.3725,526109.5665,2045.9819,22246.5935
51295,Rest Africa,Nigerian,African,132396.5720,576314.3800,6291.1200,3077.6050
51306,Rest Africa,Nigerian,African,50790.2625,225535.4583,979.7125,2085.8283
51362,Rest Africa,Nigerian,African,1199.8680,813620.7854,1432.2488,90816.7988
51383,Rest Africa,Nigerian,African,66099.9820,313453.8640,4560.5394,2971.6861
51433,Rest Africa,Nigerian,African,75536.5225,453760.6073,24558.1212,7272.6503
51454,Rest Africa,Nigerian,African,68.5549,727119.3434,45949.5967,58780.0434
51481,Rest Africa,Nigerian,African,94766.7034,432134.1886,5153.3734,3165.7498
51494,Rest Africa,Nigerian,African,66463.3978,313251.8100,6136.8875,2785.1478
51731,Chinese and Mongolian,Chinese,Asian,34.0788,366024.9911,29961.0818,26427.3991
51961,Chinese and Mongolian,Chinese,Asian,67513.1141,274360.1400,355.4320,127.0808
51982,Chinese and Mongolian,Chinese,Asian,15.1261,767581.5800,28402.5966,71585.9928
52325,Chinese and Mongolian,Chinese,Asian,38.3112,341445.2450,12633.4638,31830.2414
52451,Chinese and Mongolian,Chinese,Asian,2677.2470,326532.5577,38973.0110,16891.7702
52545,Chinese and Mongolian,Chinese,Asian,46.6070,578979.4409,54844.3053,40049.4700
52599,Chinese and Mongolian,Chinese,Asian,108.6098,279696.2643,49056.2013,7735.4312
52958,Chinese and Mongolian,Chinese,Asian,39.7131,1023543.6480,37863.8361,95452.3620
53125,Chinese and Mongolian,Chinese,Asian,31668.2776,299774.1400,32807.0956,3323.5140
53131,Chinese and Mongolian,Chinese,Asian,8387.4038,250414.1679,42403.9206,3756.9817
53196,Chinese and Mongolian,Chinese,Asian,5385.1482,221732.3655,2303.1065,22919.3420
53267,Chinese and Mongolian,Chinese,Asian,13.5754,159594.2909,31443.4740,3673.7053
53849,Chinese and Mongolian,Chinese,Asian,6389.5979,316823.0340,3484.9452,33292.8488
54112,Chinese and Mongolian,Chinese,Asian,5841.0695,243730.9400,5352.8381,23719.7901
54258,Chinese and Mongolian,Chinese,Asian,10590.8785,350001.5597,5946.9291,34682.5701
54367,Chinese and Mongolian,Chinese,Asian,4872.8747,239078.1300,2633.9877,25098.0828
54567,Chinese and Mongolian,Chinese,Asian,6402.0081,316932.6950,3491.1595,33297.7927
54621,Chinese and Mongolian,Chinese,Asian,380.7791,626580.3907,75730.0075,33643.0484
54701,Chinese and Mongolian,Chinese,Asian,364.4086,720919.3367,45161.0377,58473.8632
54710,Chinese and Mongolian,Chinese,Asian,6856.1884,324619.3560,4025.4446,33736.4287
54902,Chinese and Mongolian,Chinese,Asian,4941.2888,539463.4388,19573.5891,48487.0900
54974,Chinese and Mongolian,Chinese,Asian,13871.4897,600817.5950,6247.9219,62439.5539
55025,Chinese and Mongolian,Chinese,Asian,5.3542,313771.1867,38030.7318,17950.5039
55072,Chinese and Mongolian,Chinese,Asian,330.4767,433749.8765,83682.5948,10665.1042
55266,Chinese and Mongolian,Chinese,Asian,20.0216,242516.5770,53870.9129,1393.1575
55287,Chinese and Mongolian,Chinese,Asian,59.8247,319087.1218,62850.1763,7339.7411
55377,Chinese and Mongolian,Chinese,Asian,8573.4311,1227473.4620,44187.4582,111383.3387
55496,Chinese and Mongolian,Chinese,Asian,5349.6626,221190.1592,2212.6807,22910.9204
55509,Chinese and Mongolian,Chinese,Asian,18.4458,519942.4740,47685.7274,34977.4519
55737,Chinese and Mongolian,Chinese,Asian,336.8932,364926.0600,23004.1392,29392.4614
55812,Chinese and Mongolian,Chinese,Asian,88.9411,1279643.0810,47324.6483,119321.8930
55850,Chinese and Mongolian,Chinese,Asian,5.1908,426756.3471,15780.7863,39805.8326
55979,Chinese and Mongolian,Chinese,Asian,27.3333,578359.8749,54744.8813,40034.3298
56050,Chinese and Mongolian,Chinese,Asian,15.0092,560510.4308,29922.5169,48973.9398
56089,Chinese and Mongolian,Chinese,Asian,309.2268,266976.9860,52330.6969,6142.3198
56136,Chinese and Mongolian,Chinese,Asian,13.3863,511739.6625,18934.2088,47724.8775
56215,Chinese and Mongolian,Chinese,Asian,5.2065,193049.1386,45560.8890,1196.7234
56263,Chinese and Mongolian,Chinese,Asian,47.5865,433871.3953,39774.9774,29180.2310
56267,Chinese and Mongolian,Chinese,Asian,21.2624,265430.3620,52300.7512,6110.9158
56325,Chinese and Mongolian,Chinese,Asian,287.5126,266599.4115,52325.2069,6109.6292
56343,Chinese and Mongolian,Chinese,Asian,65295.0904,1302590.0670,27979.9412,102884.2144
56441,Chinese and Mongolian,Chinese,Asian,33.2320,767760.6280,28405.4632,71595.3126
56780,Chinese and Mongolian,Chinese,Asian,24.6316,391979.7614,47294.5625,21179.1394
57202,Chinese and Mongolian,Chinese,Asian,16.5759,202327.1439,44886.8743,1190.1489
57222,Chinese and Mongolian,Chinese,Asian,60.1817,265839.6715,52307.0205,6137.9338
57264,Thai,Thai,Asian,1604.7258,798256.6128,17375.9751,80174.0853
57266,Thai,Thai,Asian,5333.9577,493982.0753,35307.6030,37574.4683
57313,Thai,Thai,Asian,10.3178,202010.5024,44881.5668,1158.9904
57361,Thai,Thai,Asian,105845.2122,510629.1886,10496.1471,4560.7631
57369,Thai,Thai,Asian,51001.5117,684881.0778,41273.5188,35261.2184
57423,Thai,Thai,Asian,4805.2807,238495.8135,2740.9107,25001.7888
57460,Thai,Thai,Asian,3.4860,629004.9040,40689.0260,50547.0693
57500,Thai,Thai,Asian,72.5004,853436.0860,31561.2764,79579.4774
57591,Thai,Thai,Asian,4410.5687,539497.8029,49504.2950,35658.9816
57598,Thai,Thai,Asian,27404.6656,518396.5296,6035.4785,46507.7829
57675,Thai,Thai,Asian,10.0698,700458.0376,37404.5165,61200.4437
57694,Thai,Thai,Asian,5333.0536,221552.4240,2301.5448,22916.4224
57764,Thai,Thai,Asian,5334.6514,221241.4187,2228.5728,22915.2739
57821,Thai,Thai,Asian,6508.2524,317665.0880,3517.8607,33318.6977
57828,Thai,Thai,Asian,5354.6554,221235.0830,2239.2252,22901.6422
57848,Thai,Thai,Asian,5349.8897,221243.8793,2264.0888,22892.0253
57855,Thai,Thai,Asian,5412.1603,221252.3400,2220.5765,22902.7972
57894,Thai,Thai,Asian,6052.0760,237014.3585,3907.7887,23758.8277
57903,Thai,Thai,Asian,89645.7224,472690.9500,1505.0599,14323.0431
57956,Thai,Thai,Asian,5371.4717,221247.4575,2216.6840,22904.7719
57996,Thai,Thai,Asian,5351.3642,221066.2662,2203.6851,22901.6594
58004,Thai,Thai,Asian,136.4352,265764.3210,52296.0431,6097.4202
58007,Thai,Thai,Asian,51636.7412,418357.7850,8009.0955,22161.2852
58019,Thai,Thai,Asian,279.4691,428409.6212,15837.4592,39845.9535
58026,Thai,Thai,Asian,35647.8716,392821.6400,13681.1752,23928.9095
58084,Thai,Thai,Asian,19.2763,427137.0700,15826.4397,39820.9080
58105,Thai,Thai,Asian,36.4119,469250.5525,56755.6666,25288.8535
58109,Thai,Thai,Asian,36.7498,291247.5346,64634.2734,1700.2025
58153,Thai,Thai,Asian,5565.7610,222041.4320,2217.6448,22901.7920
58159,Thai,Thai,Asian,43.3309,351638.7080,42564.5353,18924.6308
58171,Thai,Thai,Asian,9635.6774,476179.9353,5313.5424,49983.1532
58184,Thai,Thai,Asian,2.8435,198956.4396,39220.8594,4577.6402
58199,Thai,Thai,Asian,91708.6947,961588.1856,58333.9082,39854.2970
58233,Thai,Thai,Asian,5506.7570,935917.7443,58757.0875,74023.2416
58253,Thai,Thai,Asian,10837.7292,445801.9890,4477.1178,46147.6086
58278,Thai,Thai,Asian,7918.0671,322769.9440,3548.0884,33320.4401
58360,Thai,Thai,Asian,39539.4554,531012.6940,31197.1467,27583.5606
58387,Thai,Thai,Asian,3.0881,426407.0780,15776.8310,39769.6470
58393,Thai,Thai,Asian,4930.6207,239461.8135,2719.7907,25065.9288
58422,Thai,Thai,Asian,7144.4104,230350.5655,3091.7062,23002.5398
58448,Thai,Thai,Asian,5403.0157,221399.5464,2250.0433,22895.5404
58459,Thai,Thai,Asian,10649.7131,443542.0400,4469.6930,45948.5625
58467,Thai,Thai,Asian,25064.6411,492656.0200,5562.1861,44219.5138
58584,Thai,Thai,Asian,5465.8000,222225.0000,2236.2000,22962.5500
58620,Thai,Thai,Asian,55567.6688,364799.5183,3722.0808,16619.4512
58623,Thai,Thai,Asian,2.8468,265658.4965,52391.6805,6099.8949
58666,Thai,Thai,Asian,24.6949,321975.8337,44974.8806,14370.8599
58682,Thai,Thai,Asian,5520.4727,615835.4620,50002.2785,44157.6096
58684,Thai,Thai,Asian,5523.9600,221601.0000,2208.2100,22889.3700
58727,Thai,Thai,Asian,7129.5428,1218284.1290,23928.7632,123148.5194
58759,Thai,Thai,Asian,96.2160,768190.5500,28458.6420,71587.0310
58805,Thai,Thai,Asian,66.5468,202685.9781,44970.7632,1174.6666
58811,Thai,Thai,Asian,6386.6649,632785.3817,42158.0631,50109.7640
58848,Thai,Thai,Asian,9231.9175,313978.8911,20694.6665,23464.0986
58858,Thai,Thai,Asian,11082.1814,401100.8625,4257.7996,40891.7588
58888,Thai,Thai,Asian,6414.7473,225960.3212,2503.0549,22943.6780
58901,Thai,Thai,Asian,19.6708,312609.2557,37832.2606,16834.3020
58904,Thai,Thai,Asian,5352.4071,221065.6695,2202.9481,22900.5336
58922,Thai,Thai,Asian,10084.7611,415173.4338,4223.4761,42949.6910
58942,Thai,Thai,Asian,6418.1521,317950.9083,3591.6449,33358.0376
58984,Thai,Thai,Asian,5335.5984,539205.7326,64955.4428,30212.3876
59036,Thai,Thai,Asian,8002.1219,233339.3837,2884.1231,23028.7497
59059,Thai,Thai,Asian,4.6131,682309.9000,25246.4092,63635.7666
59098,Thai,Thai,Asian,9998.8031,414918.6290,4303.9466,42916.8742
59105,Thai,Thai,Asian,5342.3392,220922.5892,2204.4902,22888.2608
59107,Thai,Thai,Asian,13994.9533,256958.9931,2675.1936,23002.7116
59114,Thai,Thai,Asian,8445.5446,345641.4000,3463.7427,35763.6624
59129,Thai,Thai,Asian,12332.1011,430158.9959,37616.5263,26044.7846
59176,Thai,Thai,Asian,1.9287,840491.9874,44881.0761,73440.1790
59215,Thai,Thai,Asian,1456.9838,462924.8223,46400.9692,28946.3018
59285,Thai,Thai,Asian,5392.1531,221547.9847,2254.1106,22911.0355
59372,Thai,Thai,Asian,13871.4897,600817.5950,6247.9219,62439.5539
59442,Thai,Thai,Asian,1804.2082,997054.7238,21714.4132,100218.7406
59450,Thai,Thai,Asian,5634.8268,223030.3108,2338.3047,22935.2611
59544,Thai,Thai,Asian,5583.2536,224364.5124,2687.1180,22934.4658
59686,Southeast Asian,Indonesian,Asian,503.1073,429077.4637,15874.7100,39803.4402
59689,Southeast Asian,Indonesian,Asian,871.2451,165589.7248,31462.8345,3958.1799
59695,Southeast Asian,Indonesian,Asian,798.8002,355379.4185,47163.2488,16743.6801
59698,Southeast Asian,Indonesian,Asian,14180.4013,366523.9000,11308.8050,32419.8325
59705,Southeast Asian,Indonesian,Asian,58558.3492,720739.1880,7716.7375,54624.5500
59712,Southeast Asian,Indonesian,Asian,173.3219,266283.3195,52318.8158,6137.0916
59721,Southeast Asian,Indonesian,Asian,6791.2108,471901.9145,26413.3826,39126.5703
59727,Southeast Asian,Indonesian,Asian,6667.3833,320173.3260,3713.6120,33447.1484
59753,Southeast Asian,Indonesian,Asian,8734.0700,359227.5000,3580.2750,37192.7800
59779,Southeast Asian,Indonesian,Asian,45857.6913,691927.8960,9700.1725,56460.5325
59813,Southeast Asian,Indonesian,Asian,52987.9007,253782.3880,5350.6703,1943.8647
59903,Southeast Asian,Indonesian,Asian,13963.2509,433057.6411,4872.0551,43213.4677
59912,Southeast Asian,Indonesian,Asian,6655.9716,276038.2190,2749.2611,28608.5964
59927,Southeast Asian,Indonesian,Asian,83157.2990,411055.6067,13473.5792,2678.3248
59955,Southeast Asian,Indonesian,Asian,7989.4026,396670.2036,4447.2031,41644.0461
59970,Southeast Asian,Indonesian,Asian,275.6140,268362.8985,52346.7926,6327.7312
60020,Middle Eastern,Rest Middle Eastern,Asian,22690.6613,326192.6014,7852.5779,23878.8177
60064,Middle Eastern,Rest Middle Eastern,Asian,2839.5120,497768.8000,31362.9620,39339.9160
60086,Middle Eastern,Rest Middle Eastern,Asian,75576.1855,454034.4011,24588.1269,7273.3848
60100,Middle Eastern,Rest Middle Eastern,Asian,36.6112,718664.7600,45129.4484,58378.8475
60125,Middle Eastern,Rest Middle Eastern,Asian,75514.7597,454491.6883,24644.8848,7319.2366
60272,Middle Eastern,Rest Middle Eastern,Asian,56145.9550,233695.5000,1193.9650,294.7150
60274,Middle Eastern,Rest Middle Eastern,Asian,2891.9756,2076455.8970,34718.1590,214789.5950
60337,Middle Eastern,Rest Middle Eastern,Asian,85057.0909,512267.7625,27690.1836,8330.5977
60429,Middle Eastern,Rest Middle Eastern,Asian,222051.9192,993604.0243,13507.6491,3478.7197
60442,Middle Eastern,Rest Middle Eastern,Asian,65629.4996,261374.7190,1543.3225,501.2150
60539,Middle Eastern,Rest Middle Eastern,Asian,100805.6893,407595.1190,9.2354,513.0130
60562,Middle Eastern,Rest Middle Eastern,Asian,50401.8800,205603.0000,50.2400,438.0400
60569,Middle Eastern,Rest Middle Eastern,Asian,47.2156,605805.2768,38292.6567,48972.3937
60636,Middle Eastern,Rest Middle Eastern,Asian,140587.7455,643937.7908,10476.5407,2677.0752
60647,Middle Eastern,Rest Middle Eastern,Asian,5416.8171,294192.2815,54915.7338,6385.2960
60713,Middle Eastern,Rest Middle Eastern,Asian,95292.4214,613242.8367,31738.1296,13723.0939
60758,Middle Eastern,Rest Middle Eastern,Asian,1012.4003,290264.2465,16328.4912,24410.8775
60773,Middle Eastern,Rest Middle Eastern,Asian,80280.3341,482106.2003,26096.4023,7713.1131
60774,Middle Eastern,Rest Middle Eastern,Asian,70733.0748,340282.0650,6974.5400,2960.0205
60803,Middle Eastern,Rest Middle Eastern,Asian,0.6123,231736.3225,0.2182,26214.2369
60883,Middle Eastern,Rest Middle Eastern,Asian,182.7703,485388.4150,30681.8907,39177.3225
60899,Middle Eastern,Rest Middle Eastern,Asian,355.0223,313836.0325,37903.1302,16826.0891
60909,Middle Eastern,Rest Middle Eastern,Asian,42.6624,718691.0000,45130.8308,58378.9979
60918,Middle Eastern,Rest Middle Eastern,Asian,100452.3420,495411.1227,15795.6740,2288.4601
61020,Middle Eastern,Rest Middle Eastern,Asian,77632.5117,544455.3993,25674.2131,16145.3848
61144,Middle Eastern,Rest Middle Eastern,Asian,132226.5313,1087012.0410,21372.0025,57601.1275
61214,Middle Eastern,Rest Middle Eastern,Asian,63319.6961,289725.5600,4710.0628,1176.1600
61324,Middle Eastern,Rest Middle Eastern,Asian,151020.1616,917045.2842,51362.1841,14556.0702
61352,Middle Eastern,Rest Middle Eastern,Asian,151016.3213,917139.3219,51349.9199,14575.0765
61395,Middle Eastern,Rest Middle Eastern,Asian,60.8747,258824.4126,50769.8134,4606.8324
61436,Middle Eastern,Rest Middle Eastern,Asian,65442.9417,792365.7728,56242.5895,34846.7802
61451,Middle Eastern,Rest Middle Eastern,Asian,87957.3248,597745.7833,31309.2385,16359.2047
61467,Middle Eastern,Rest Middle Eastern,Asian,13356.0418,494847.1420,79647.6744,14552.2421
61470,Middle Eastern,Rest Middle Eastern,Asian,182.0995,202893.8169,44915.7218,1166.4283
61477,Middle Eastern,Rest Middle Eastern,Asian,192.0272,916693.7043,57992.2774,74038.2993
61521,Middle Eastern,Rest Middle Eastern,Asian,152522.3364,915482.8891,49938.1311,14631.2060
61602,Middle Eastern,Rest Middle Eastern,Asian,81.6768,727026.2890,45948.5605,58763.4620
61611,Middle Eastern,Rest Middle Eastern,Asian,49777.8474,854883.1648,46551.0286,50274.6982
61635,Middle Eastern,Rest Middle Eastern,Asian,18.5740,605643.0980,38286.6029,48967.4789
61650,Middle Eastern,Rest Middle Eastern,Asian,5356.8718,223410.9780,2508.6587,23015.8033
61659,Middle Eastern,Rest Middle Eastern,Asian,161.4435,398471.7172,78448.4516,9147.0011
61673,Middle Eastern,Rest Middle Eastern,Asian,6298.1900,316499.0000,692.6200,32852.5200
61681,Middle Eastern,Rest Middle Eastern,Asian,126077.2528,625346.0487,23603.3020,2592.7247
